epoch	train_loss	lr
0	0.0429	0.0006
1	0.0325	0.0006
2	0.0308	0.0006
3	0.0299	0.0006
4	0.0294	0.0006
5	0.0288	0.0006
6	0.0286	0.0006
7	0.0283	0.0006
8	0.0285	0.0006
9	0.028	0.0006
10	0.0277	0.0006
11	0.0276	0.0006
12	0.0276	0.0006
13	0.0273	0.0006
14	0.0273	0.0006
15	0.0274	0.0006
16	0.0269	0.0006
17	0.0272	0.0006
18	0.0268	0.0006
19	0.027	0.0006
20	0.027	0.0006
21	0.0266	0.0006
22	0.0267	0.0006
23	0.0267	0.0006
24	0.0266	0.0006
25	0.0267	0.0006
26	0.0269	0.0006
27	0.0266	0.0006
28	0.0265	0.0006
29	0.0263	0.0006
30	0.0263	0.0006
31	0.0265	0.0006
32	0.0264	0.0006
33	0.0264	0.0006
34	0.0264	0.0006
35	0.0266	0.0006
36	0.0264	0.0006
37	0.0266	0.0006
38	0.0261	0.0006
39	0.0262	0.0006
40	0.0263	0.0006
41	0.0263	0.0006
42	0.0264	0.0006
43	0.026	0.0006
44	0.0262	0.0006
45	0.0263	0.0006
46	0.0262	0.0006
47	0.0262	0.0006
48	0.0262	0.0006
49	0.0262	0.0006
50	0.0261	0.0006
51	0.0262	0.0006
52	0.0261	0.0006
53	0.0261	0.0006
54	0.0259	0.0006
55	0.0262	0.0006
56	0.026	0.0006
57	0.0262	0.0006
58	0.026	0.0006
59	0.0261	0.0006
60	0.0258	0.0006
61	0.0261	0.0006
62	0.026	0.0006
63	0.026	0.0006
64	0.026	0.0006
65	0.0259	0.0006
66	0.026	0.0006
67	0.0262	0.0006
68	0.0261	0.0006
69	0.0259	0.0006
70	0.026	0.0006
71	0.026	0.0006
72	0.026	0.0006
73	0.026	0.0006
74	0.026	0.0006
75	0.026	0.0006
76	0.026	0.0006
77	0.0259	0.0006
78	0.0259	0.0006
79	0.0257	0.0006
80	0.0258	0.0006
81	0.0259	0.0006
82	0.0258	0.0006
83	0.0259	0.0006
84	0.026	0.0006
85	0.0257	0.0006
86	0.0256	0.0006
87	0.0258	0.0006
88	0.0259	0.0006
89	0.0258	0.0006
90	0.0259	0.0006
91	0.0257	0.0006
92	0.0259	0.0006
93	0.026	0.0006
94	0.0259	0.0006
95	0.0257	0.0006
96	0.0258	0.0006
97	0.0258	0.0006
98	0.0257	0.0006
99	0.0258	0.0006
100	0.0259	0.0006
101	0.0257	0.0006
102	0.0257	0.0006
103	0.0259	0.0006
104	0.0257	0.0006
105	0.0258	0.0006
106	0.0258	0.0006
107	0.0257	0.0006
108	0.0257	0.0006
109	0.0258	0.0006
110	0.0257	0.0006
111	0.0257	0.0006
112	0.0256	0.0006
113	0.0256	0.0006
114	0.0257	0.0006
115	0.0256	0.0006
116	0.0258	0.0006
117	0.0258	0.0006
118	0.0256	0.0006
119	0.0258	0.0006
120	0.0259	0.0006
121	0.0255	0.0006
122	0.0256	0.0006
123	0.0257	0.0006
124	0.0258	0.0006
125	0.0257	0.0006
126	0.0256	0.0006
127	0.0256	0.0006
128	0.0255	0.0006
129	0.0258	0.0006
130	0.0259	0.0006
131	0.0257	0.0006
132	0.0258	0.0006
133	0.0257	0.0006
134	0.0259	0.0006
135	0.0257	0.0006
136	0.0255	0.0006
137	0.0258	0.0006
138	0.0255	0.0006
139	0.0257	0.0006
140	0.0257	0.0006
141	0.0256	0.0006
142	0.0256	0.0006
143	0.0257	0.0006
144	0.0258	0.0006
145	0.0256	0.0006
146	0.0257	0.0006
147	0.0255	0.0006
148	0.0257	0.0006
149	0.0256	0.0006
150	0.0256	0.0006
151	0.0255	0.0006
152	0.0256	0.0006
